ctyua19cd,ctyua19nm,long,lat
E10000017,Lancashire,-2.46091,53.86216
E10000018,Leicestershire,-1.3779,52.68779
E10000019,Lincolnshire,-0.23882,53.11105
E10000020,Norfolk,0.964662,52.671108
E10000021,Northamptonshire,-0.86668,52.31105
E10000023,North Yorkshire,-1.55032,54.093712
E10000024,Nottinghamshire,-1.00656,53.128502
E08000026,Coventry,-1.51908,52.41423
E08000027,Dudley,-2.10171,52.495129
E08000028,Sandwell,-2.00771,52.514771
E10000025,Oxfordshire,-1.29146,51.771549
E10000027,Somerset,-3.29605,51.071861
E10000028,Staffordshire,-2.02756,52.909302
E10000029,Suffolk,1.049148,52.253868
E10000030,Surrey,-0.33911,51.268028
E10000031,Warwickshire,-1.56874,52.179771
E10000032,West Sussex,-0.45933,50.95134
E10000034,Worcestershire,-2.20935,52.212872
W06000001,Isle of Anglesey,-4.32291,53.279449
W06000002,Gwynedd,-3.81559,52.898258
W06000003,Conwy,-3.74646,53.147388
E08000029,Solihull,-1.71558,52.431
E08000030,Walsall,-1.97044,52.60503
E08000031,Wolverhampton,-2.12746,52.597881
E08000032,Bradford,-1.87389,53.843819
E08000033,Calderdale,-1.96182,53.720482
E08000034,Kirklees,-1.78085,53.64233
E08000036,Wakefield,-1.42092,53.659222
E08000035,Leeds,-1.50736,53.822731
E09000004,Bexley,0.146212,51.45821
E08000037,Gateshead,-1.6868,54.931198
E09000001,City of London,-0.09351,51.51564
E09000002,Barking and Dagenham,0.129506,51.545521
E09000003,Barnet,-0.21821,51.61108
E09000006,Bromley,0.039246,51.372669
E09000007,Camden,-0.16289,51.54306
E09000008,Croydon,-0.07761,51.365978
E09000009,Ealing,-0.31407,51.524429
E09000011,Greenwich,0.050108,51.463959
E09000012,Hackney,-0.06045,51.55492
E09000013,Hammersmith and Fulham,-0.21736,51.48737
E09000014,Haringey,-0.10667,51.587711
E09000015,Harrow,-0.33603,51.594669
E09000016,Havering,0.235368,51.565189
E09000017,Hillingdon,-0.44182,51.536629
E09000018,Hounslow,-0.37844,51.462429
E09000019,Islington,-0.10992,51.545479
E09000020,Kensington and Chelsea,-0.18976,51.496441
E09000021,Kingston upon Thames,-0.28367,51.39296
E09000023,Lewisham,-0.01733,51.44231
E09000024,Merton,-0.18867,51.410568
E09000025,Newham,0.027369,51.531319
E09000026,Redbridge,0.070085,51.585892
E09000027,Richmond upon Thames,-0.28914,51.440331
E09000028,Southwark,-0.07309,51.465881
E09000029,Sutton,-0.17227,51.357559
E09000030,Tower Hamlets,-0.0364,51.51553
E09000031,Waltham Forest,-0.01881,51.594608
W06000004,Denbighshire,-3.34761,53.088329
W06000005,Flintshire,-3.17605,53.214981
W06000006,Wrexham,-2.99203,53.001671
W06000008,Ceredigion,-3.94994,52.297951
W06000009,Pembrokeshire,-4.90818,51.855122
W06000010,Carmarthenshire,-4.2111,51.894951
W06000011,Swansea,-3.96723,51.658058
W06000012,Neath Port Talbot,-3.74638,51.644501
W06000024,Merthyr Tydfil,-3.36425,51.748581
W06000013,Bridgend,-3.61359,51.560581
W06000014,Vale of Glamorgan,-3.39803,51.44838
W06000015,Cardiff,-3.22212,51.502541
W06000016,Rhondda Cynon Taf,-3.41359,51.621849
W06000018,Caerphilly,-3.19753,51.650009
W06000019,Blaenau Gwent,-3.18592,51.753639
W06000020,Torfaen,-3.05101,51.69836
W06000021,Monmouthshire,-2.9028,51.778271
W06000022,Newport,-2.89769,51.582321
W06000023,Powys,-3.43533,52.348629
